source,listing_area,row_index,display_rank,organic_rank,sponsored_rank,target_rank,exposure_type,render_state,is_fully_loaded_card,is_placeholder_card,is_listing_target,article_number,product_id,variation_id,list_position,local_list_position,origin,product_url,retailer_sku_name,final_sku_price,original_sku_price,savings,final_sku_price_text,original_sku_price_text,savings_text,sku_popularity_raw,sku_popularity,sku_status_raw,sku_status,discount_type_raw,discount_type
topseller,#reptile-search-result section.reptile-tile-list,66,66,56,,66,organic,placeholder_link_only,False,True,True,13411740,1975567750,1975567753,66,66,,https://www.otto.de/p/samsung-gq75qn70fau-qled-fernseher-189-cm-75-zoll-4k-ultra-hd-smart-tv-neo-quantum-hdr-4k-ai-upscaling-gaming-hub-motion-xcelerator-144hz-1975567750/?variationId=1975567753,"Samsung GQ75QN70FAU QLED-Fernseher (189 cm/75 Zoll, 4K Ultra HD, Smart-TV, Neo Quantum HDR, 4K AI Upscaling, Gaming Hub, Motion Xcelerator 144Hz)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,67,67,57,,67,organic,placeholder_link_only,False,True,True,91535131,2093626166,2093626167,67,67,,https://www.otto.de/p/lg-85nu850b6la-led-fernseher-215-cm-85-zoll-4k-ultra-hd-smart-tv-2093626166/?variationId=2093626167,"LG 85NU850B6LA LED-Fernseher (215 cm/85 Zoll, 4K Ultra HD, Smart-TV)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,68,68,58,,68,organic,placeholder_link_only,False,True,True,72859027,1197586134,1197586135,68,68,,https://www.otto.de/p/telefunken-l24h550m4i-led-fernseher-60-cm-24-zoll-hd-ready-1197586134/?variationId=1197586135,"Telefunken L24H550M4I LED-Fernseher (60 cm/24 Zoll, HD-ready)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,69,69,59,,69,organic,placeholder_link_only,False,True,True,36228644,C2087551485,2087551486,69,69,,https://www.otto.de/p/hisense-75e7s-qled-fernseher-189-cm-75-zoll-4k-ultra-hd-smart-tv-C2087551485/?variationId=2087551486,"Hisense 75E7S QLED-Fernseher (189 cm/75 Zoll, 4K Ultra HD, Smart-TV)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,70,70,60,,70,organic,placeholder_link_only,False,True,True,98502912,1975567989,1975567990,70,70,,https://www.otto.de/p/samsung-gq75q8faau-qled-fernseher-189-cm-75-zoll-4k-ultra-hd-smart-tv-quantum-hdrplus-knox-security-art-store-3d-sound-gaming-hub-ai-tv-1975567989/?variationId=1975567990,"Samsung GQ75Q8FAAU QLED-Fernseher (189 cm/75 Zoll, 4K Ultra HD, Smart-TV, Quantum HDR+, Knox Security, Art Store, 3D Sound, Gaming Hub, AI TV)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,71,71,61,,71,organic,placeholder_link_only,False,True,True,11836422,1723522817,1723522818,71,71,,https://www.otto.de/p/sony-kd-85x80l-led-fernseher-215-cm-85-zoll-4k-ultra-hd-smart-tv-google-tv-hdr-x1-prozessor-bravia-core-triluminos-pro-hdmi-2-1-gaming-menue-1723522817/?variationId=1723522818,"Sony KD-85X80L LED-Fernseher (215 cm/85 Zoll, 4K Ultra HD, Smart-TV, Google TV, HDR, X1-Prozessor, BRAVIA CORE, Triluminos Pro, HDMI 2.1, Gaming-Menü)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,73,73,62,,73,organic,placeholder_link_only,False,True,True,98602503,1975567703,1975567707,73,73,,https://www.otto.de/p/samsung-gq55s85fau-oled-fernseher-138-cm-55-zoll-4k-ultra-hd-smart-tv-hdr-dolby-atmos-ai-sound-pantone-farben-gaming-hub-bis-zu-120hz-1975567703/?variationId=1975567707,"Samsung GQ55S85FAU OLED-Fernseher (138 cm/55 Zoll, 4K Ultra HD, Smart-TV, HDR, Dolby Atmos & AI Sound, Pantone Farben, Gaming Hub, bis zu 120Hz)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,74,74,63,,74,organic,placeholder_link_only,False,True,True,,S0H9U065,S0H9U0651NQK,74,74,,https://www.otto.de/p/rosnek-led-stripe-2-5m-rgb-app-fernbedienung-usb-fuer-schlafzimmer-tv-led-hintergrundbeleuchtung-computer-monitore-deko-S0H9U065/?variationId=S0H9U0651NQK,"Rosnek LED Stripe 2/5M, RGB, APP/Fernbedienung, USB, für Schlafzimmer TV, LED Hintergrundbeleuchtung Computer Monitore Deko",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,75,75,64,,75,organic,placeholder_link_only,False,True,True,49699520,C2042293620,2042293621,75,75,,https://www.otto.de/p/toshiba-50uv1563dd-dled-fernseher-126-cm-50-zoll-4k-ultra-hd-smart-tv-C2042293620/?variationId=2042293621,"Toshiba 50UV1563DD DLED-Fernseher (126 cm/50 Zoll, 4K Ultra HD, Smart-TV)",,,,,,,,,,,,
topseller,#reptile-search-result section.reptile-tile-list,76,76,65,,76,organic,placeholder_link_only,False,True,True,S03ED0HN,C1962462162,S03ED0HNXKCH,76,76,,https://www.otto.de/p/hisense-58e77q-qled-fernseher-146-cm-58-zoll-4k-ultra-hd-smart-tv-4k-uhd-qled-C1962462162/?variationId=S03ED0HNXKCH,"Hisense 58E77Q LED-Fernseher (58 Zoll, 4K Ultra HD, Ja)",,,,,,,,,,,,
